 Temperature:  0.69999998807907104      Hamiltonian:  -2.0004000800000004      Magnetization:  -1.0002000400000002      4th_order_cumulant:  0.66666666666666674      	 -8e-08 	 -4e-08
 Temperature:  0.80000001192092896      Hamiltonian:  -2.0004000800160000      Magnetization:  -1.0002000400080000      4th_order_cumulant:  0.66666666666666674      	 -1.59996e-11 	 -7.99982e-12
 Temperature:  0.90000003576278687      Hamiltonian:  -2.0004000800160031      Magnetization:  -1.0002000400080016      4th_order_cumulant:  0.66666666666666674      	 -3.10862e-15 	 -1.55431e-15
 Temperature:   1.0000000000000000      Hamiltonian:  -1.9908375800160032      Magnetization: -0.99766254000800159      4th_order_cumulant:  0.66691270410582071      	 0.0095625 	 0.0025375
 Temperature:   1.1000000238418579      Hamiltonian:  -1.9833606675160029      Magnetization: -0.99579328250800170      4th_order_cumulant:  0.66725365143278881      	 0.00747691 	 0.00186926
 Temperature:   1.2000000476837158      Hamiltonian:  -1.9826966721335033      Magnetization: -0.99554915865650162      4th_order_cumulant:  0.66752683946376723      	 0.000663995 	 0.000244124
 Temperature:   1.3000000715255737      Hamiltonian:  -1.9711715393344267      Magnetization: -0.99258660983173141      4th_order_cumulant:  0.66794164163046388      	 0.0115251 	 0.00296255
 Temperature:   1.3999999761581421      Hamiltonian:  -1.9671317343078669      Magnetization: -0.99090476732196642      4th_order_cumulant:  0.66835504850259864      	 0.00403981 	 0.00168184
 Temperature:   1.5000000000000000      Hamiltonian:  -1.9503684263468619      Magnetization: -0.98692318095346432      4th_order_cumulant:  0.66892588285388332      	 0.0167633 	 0.00398159
 Temperature:   1.6000000238418579      Hamiltonian:  -1.9207150736852694      Magnetization: -0.97902863463619072      4th_order_cumulant:  0.66979483611156532      	 0.0296534 	 0.00789455
 Temperature:   1.7000000476837158      Hamiltonian:  -1.9076841430147371      Magnetization: -0.97491455572692720      4th_order_cumulant:  0.67069816212521505      	 0.0130309 	 0.00411408
 Temperature:   1.8000000715255737      Hamiltonian:  -1.8600940368286027      Magnetization: -0.95920748291114544      4th_order_cumulant:  0.67201129808230797      	 0.0475901 	 0.0157071
 Temperature:   1.8999999761581421      Hamiltonian:  -1.8502970188073657      Magnetization: -0.95704184149658211      4th_order_cumulant:  0.67319317111975630      	 0.00979702 	 0.00216564
 Temperature:   2.0000000000000000      Hamiltonian:  -1.6339700594037614      Magnetization: -0.85863515836829940      4th_order_cumulant:  0.67589648304546623      	 0.216327 	 0.0984067
 Temperature:   2.1000001430511475      Hamiltonian:  -1.6974142940118806      Magnetization: -0.90305297703167364      4th_order_cumulant:  0.67797547536390157      	 -0.0634442 	 -0.0444178
 Temperature:   2.2000000476837158      Hamiltonian:  -1.6138894828588024      Magnetization: -0.86349311059540634      4th_order_cumulant:  0.68063383777957598      	 0.0835248 	 0.0395599
 Temperature:   2.2999999523162842      Hamiltonian:  -1.5340227778965716      Magnetization: -0.82374144862211907      4th_order_cumulant:  0.68337355932257693      	 0.0798667 	 0.0397517
 Temperature:   2.4000000953674316      Hamiltonian:  -1.3093193045555793      Magnetization: -0.68480224828972436      4th_order_cumulant:  0.68666462327897326      	 0.224703 	 0.138939
 Temperature:   2.5000000000000000      Hamiltonian:  -1.2195243638609110      Magnetization:  0.56248803955034199      4th_order_cumulant:  0.68926031999442050      	 0.0897949 	 1.24729
 Temperature:   2.6000001430511475      Hamiltonian:  -1.4955314048727721      Magnetization:  0.81853749760791006      4th_order_cumulant:  0.69163982809635183      	 -0.276007 	 0.256049
 Temperature:   2.7000000476837158      Hamiltonian:  -1.2935116062809746      Magnetization: -0.65348629250047841      4th_order_cumulant:  0.69411434257627058      	 0.20202 	 -1.47202
 Temperature:   2.7999999523162842      Hamiltonian:  -1.0000712023212561      Magnetization: -0.25020569725850011      4th_order_cumulant:  0.69604132650271633      	 0.29344 	 0.403281
 Temperature:   2.9000000953674316      Hamiltonian: -0.96930001424046419      Magnetization: -0.47271879113945170      4th_order_cumulant:  0.69825486604762788      	 0.0307712 	 -0.222513
 Temperature:   3.0000000000000000      Hamiltonian: -0.83238136000284813      Magnetization:   2.5336706241772117E-002 4th_order_cumulant:  0.69959008504340392      	 0.136919 	 0.498055
 Temperature:   3.1000001430511475      Hamiltonian: -0.85345397627200059      Magnetization:  -6.7419932658751638E-002 4th_order_cumulant:  0.70114557531379518      	 -0.0210726 	 -0.0927566
 Temperature:   3.2000000476837158      Hamiltonian: -0.72905819079525447      Magnetization:  0.11811776601346824      4th_order_cumulant:  0.70246653151995364      	 0.124396 	 0.185538
 Temperature:   3.2999999523162842      Hamiltonian: -0.75499581163815910      Magnetization: -0.18300137644679731      4th_order_cumulant:  0.70362779587179736      	 -0.0259376 	 -0.301119
 Temperature:   3.4000000953674316      Hamiltonian: -0.69281349916232771      Magnetization:   3.5196497247106436E-003 4th_order_cumulant:  0.70457821853349034      	 0.0621823 	 0.186521
 Temperature:   3.5000000000000000      Hamiltonian: -0.68796356269983239      Magnetization:  0.12256320392994494      4th_order_cumulant:  0.70557550041894468      	 0.00484994 	 0.119044
 Temperature:   3.6000001430511475      Hamiltonian: -0.60380009271253998      Magnetization:  -8.4850487359214008E-002 4th_order_cumulant:  0.70624730911615696      	 0.0841635 	 -0.207414
 Temperature:   3.7000000476837158      Hamiltonian: -0.57427076001854249      Magnetization:  -2.0535720097471837E-002 4th_order_cumulant:  0.70683760803789752      	 0.0295293 	 0.0643148
