 Temperature:  0.25000000000000000      Hamiltonian:  -2.0000000000000000      Magnetization:   1.0000000000000000      4th_order_cumulant:  0.66666666666666674     
 Temperature:  0.30000001192092896      Hamiltonian:  -2.0000399999999998      Magnetization:   1.0000199999999999      4th_order_cumulant:  0.66666666666666674     
 Temperature:  0.34999999403953552      Hamiltonian:  -2.0000400007999999      Magnetization:   1.0000200003999999      4th_order_cumulant:  0.66666666666666674     
 Temperature:  0.40000000596046448      Hamiltonian:  -2.0000400008000159      Magnetization:   1.0000200004000079      4th_order_cumulant:  0.66666666666666674     
 Temperature:  0.45000001788139343      Hamiltonian:  -2.0000400008000159      Magnetization:   1.0000200004000079      4th_order_cumulant:  0.66666666666666674     
 Temperature:  0.50000000000000000      Hamiltonian:  -2.0000400008000159      Magnetization:   1.0000200004000079      4th_order_cumulant:  0.66666666666666674     
 Temperature:  0.55000001192092896      Hamiltonian:  -2.0000400008000159      Magnetization:   1.0000200004000079      4th_order_cumulant:  0.66666666666666674     
 Temperature:  0.60000002384185791      Hamiltonian:  -2.0000400008000159      Magnetization:   1.0000200004000079      4th_order_cumulant:  0.66666666666666674     
 Temperature:  0.65000003576278687      Hamiltonian:  -2.0000300008000158      Magnetization:   1.0000175004000080      4th_order_cumulant:  0.66666679958774289     
 Temperature:  0.69999998807907104      Hamiltonian:  -2.0000300006000158      Magnetization:   1.0000175003500078      4th_order_cumulant:  0.66666690592470346     
 Temperature:  0.75000000000000000      Hamiltonian:  -2.0000300006000122      Magnetization:   1.0000175003500071      4th_order_cumulant:  0.66666699292773712     
 Temperature:  0.80000001192092896      Hamiltonian:  -1.9992400006000122      Magnetization:  0.99982000035000707      4th_order_cumulant:  0.66667494126762694     
 Temperature:  0.85000002384185791      Hamiltonian:  -1.9993099848000120      Magnetization:  0.99983749640000696      4th_order_cumulant:  0.66668102294295717     
 Temperature:  0.90000003576278687      Hamiltonian:  -1.9989299861996959      Magnetization:  0.99973749674992796      4th_order_cumulant:  0.66668943970979266     
 Temperature:  0.94999998807907104      Hamiltonian:  -1.9985699785997242      Magnetization:  0.99964749474993497      4th_order_cumulant:  0.66669960650532811     
 Temperature:   1.0000000000000000      Hamiltonian:  -1.9968499713995720      Magnetization:  0.99920499294989507      4th_order_cumulant:  0.66672127202786191     
 Temperature:   1.0500000715255737      Hamiltonian:  -1.9950999369994280      Magnetization:  0.99876498409985903      4th_order_cumulant:  0.66675266690814627     
 Temperature:   1.1000000238418579      Hamiltonian:  -1.9940249019987397      Magnetization:  0.99847747529968200      4th_order_cumulant:  0.66678760313405561     
 Temperature:   1.1499999761581421      Hamiltonian:  -1.9932248804980399      Magnetization:  0.99825996954950591      4th_order_cumulant:  0.66682380016635689     
 Temperature:   1.2000000476837158      Hamiltonian:  -1.9895348644976099      Magnetization:  0.99733496519939102      4th_order_cumulant:  0.66687847791742827     
 Temperature:   1.2500000000000000      Hamiltonian:  -1.9851147906972899      Magnetization:  0.99617994669930399      4th_order_cumulant:  0.66695081043835680     
 Temperature:   1.3000000715255737      Hamiltonian:  -1.9774497022958140      Magnetization:  0.99414492359893392      4th_order_cumulant:  0.66705668554142827     
 Temperature:   1.3500000238418579      Hamiltonian:  -1.9715345489940461      Magnetization:  0.99255988289847197      4th_order_cumulant:  0.66718318225257400     
 Temperature:   1.3999999761581421      Hamiltonian:  -1.9695894306909800      Magnetization:  0.99191735119765800      4th_order_cumulant:  0.66730938959723995     
 Temperature:   1.4500000476837158      Hamiltonian:  -1.9678193917886138      Magnetization:  0.99151733834702394      4th_order_cumulant:  0.66743277010098279     
 Temperature:   1.5000000000000000      Hamiltonian:  -1.9573893563878360      Magnetization: -0.98828266965323297      4th_order_cumulant:  0.66758826587469211     
 Temperature:   1.5500000715255737      Hamiltonian:  -1.9438841477871278      Magnetization: -0.98447226565339307      4th_order_cumulant:  0.66778573923141571     
 Temperature:   1.6000000238418579      Hamiltonian:  -1.9317438776829559      Magnetization: -0.85987468944531309      4th_order_cumulant:  0.66799916477007026     
 Temperature:   1.6499999761581421      Hamiltonian:  -1.9150236348775536      Magnetization: -0.46382219749378889      4th_order_cumulant:  0.66825640594869795     
 Temperature:   1.7000000476837158      Hamiltonian:  -1.8986083004726977      Magnetization: -0.55482677644394984      4th_order_cumulant:  0.66856088908833189     
 Temperature:   1.7500000000000000      Hamiltonian:  -1.8883129721660095      Magnetization:  -9.8596096535528893E-002 4th_order_cumulant:  0.66887953525193877     
 Temperature:   1.8000000715255737      Hamiltonian:  -1.8604477662594434      Magnetization: -0.20242447192193072      4th_order_cumulant:  0.66924346044158300     
 Temperature:   1.8500000238418579      Hamiltonian:  -1.8422172089553253      Magnetization:  -3.4065484894384283E-003 4th_order_cumulant:  0.66962870782412209     
 Temperature:   1.8999999761581421      Hamiltonian:  -1.8133518443441792      Magnetization:  0.27454493186903017      4th_order_cumulant:  0.67003734264326309     
 Temperature:   1.9500000476837158      Hamiltonian:  -1.7791562670368870      Magnetization: -0.14437450910136262      4th_order_cumulant:  0.67051053747182177     
 Temperature:   2.0000000000000000      Hamiltonian:  -1.7561855831253406      Magnetization: -0.63645038749018201      4th_order_cumulant:  0.67102989711784078     
 Temperature:   2.0499999523162842      Hamiltonian:  -1.7408301237116626      Magnetization:  0.37395727099225018      4th_order_cumulant:  0.67155388316182352     
 Temperature:   2.1000001430511475      Hamiltonian:  -1.6924898166024742      Magnetization:  0.28440997914541988      4th_order_cumulant:  0.67214513367945439     
