 Temperature:  0.69999998807907104      Hamiltonian:  -1.9998527500080001      Magnetization: -0.99996418750400007      4th_order_cumulant:  0.66667442945351896      	 0.00015125 	 3.78125e-05
 Temperature:  0.80000001192092896      Hamiltonian:  -1.9995034997054999      Magnetization: -0.99987687492837496      4th_order_cumulant:  0.66669175597187169      	 0.00034925 	 8.73126e-05
 Temperature:  0.90000003576278687      Hamiltonian:  -1.9988447490069994      Magnetization: -0.99970706225374995      4th_order_cumulant:  0.66672287775115335      	 0.000658751 	 0.000169813
 Temperature:   1.0000000000000000      Hamiltonian:  -1.9972617476894980      Magnetization: -0.99931018691412454      4th_order_cumulant:  0.66678412855939539      	 0.001583 	 0.000396875
 Temperature:   1.1000000238418579      Hamiltonian:  -1.9941992445234955      Magnetization: -0.99852231112037393      4th_order_cumulant:  0.66689641630844709      	 0.0030625 	 0.000787876
 Temperature:   1.2000000476837158      Hamiltonian:  -1.9888012383984890      Magnetization: -0.99711462204462220      4th_order_cumulant:  0.66708658890298334      	 0.00539801 	 0.00140769
 Temperature:   1.3000000715255737      Hamiltonian:  -1.9800391026024766      Magnetization: -0.99473018172924410      4th_order_cumulant:  0.66739035802738589      	 0.00876214 	 0.00238444
 Temperature:   1.3999999761581421      Hamiltonian:  -1.9669193350782053      Magnetization: -0.99104098946036356      4th_order_cumulant:  0.66784358037012914      	 0.0131198 	 0.00368919
 Temperature:   1.5000000000000000      Hamiltonian:  -1.9488666838386701      Magnetization: -0.98585685708197890      4th_order_cumulant:  0.66847798682217840      	 0.0180527 	 0.00518413
 Temperature:   1.6000000238418579      Hamiltonian:  -1.9255646477333677      Magnetization: -0.97867728421371414      4th_order_cumulant:  0.66931734905554618      	 0.023302 	 0.00717957
 Temperature:   1.7000000476837158      Hamiltonian:  -1.8983267261292955      Magnetization: -0.97042283235456839      4th_order_cumulant:  0.67036031739863833      	 0.0272379 	 0.00825445
 Temperature:   1.8000000715255737      Hamiltonian:  -1.8586022966534523      Magnetization: -0.95699937834566473      4th_order_cumulant:  0.67170280712185404      	 0.0397244 	 0.0134235
 Temperature:   1.8999999761581421      Hamiltonian:  -1.8112660922045933      Magnetization: -0.93893847649875672      4th_order_cumulant:  0.67333424929170604      	 0.0473362 	 0.0180609
 Temperature:   2.0000000000000000      Hamiltonian:  -1.7449462475321844      Magnetization:  0.19068193462304700      4th_order_cumulant:  0.67524587599452701      	 0.0663198 	 1.12962
 Temperature:   2.1000001430511475      Hamiltonian:  -1.6629043648924950      Magnetization:  -5.4093118636130762E-002 4th_order_cumulant:  0.67748026955433649      	 0.0820419 	 -0.244775
 Temperature:   2.2000000476837158      Hamiltonian:  -1.5704757008087298      Magnetization: -0.24560442068623728      4th_order_cumulant:  0.68004140009926117      	 0.0924287 	 -0.191511
 Temperature:   2.2999999523162842      Hamiltonian:  -1.4677323909514015      Magnetization: -0.24781174120884139      4th_order_cumulant:  0.68265285610753956      	 0.102743 	 -0.00220732
 Temperature:   2.4000000953674316      Hamiltonian:  -1.3364566854647819      Magnetization:  -5.5483745623482419E-002 4th_order_cumulant:  0.68541168143373099      	 0.131276 	 0.192328
 Temperature:   2.5000000000000000      Hamiltonian:  -1.2221366729133709      Magnetization:  -1.7746298467491244E-002 4th_order_cumulant:  0.68796057285099543      	 0.11432 	 0.0377374
 Temperature:   2.6000001430511475      Hamiltonian:  -1.1124994442733458      Magnetization:  -1.9573160492596945E-002 4th_order_cumulant:  0.69030046790249289      	 0.109637 	 -0.00182686
 Temperature:   2.7000000476837158      Hamiltonian:  -1.0354572249988885      Magnetization:   3.7298983536790185E-003 4th_order_cumulant:  0.69243921027555488      	 0.0770422 	 0.0233031
 Temperature:   2.7999999523162842      Hamiltonian: -0.94760732091444999      Magnetization:   2.0048132459796704E-002 4th_order_cumulant:  0.69435174110306674      	 0.0878499 	 0.0163182
 Temperature:   2.9000000953674316      Hamiltonian: -0.89115352021464178      Magnetization:  -6.8532099037350797E-003 4th_order_cumulant:  0.69605107854476600      	 0.0564538 	 -0.0269013
 Temperature:   3.0000000000000000      Hamiltonian: -0.85151628230704046      Magnetization:  -6.2370120641980610E-004 4th_order_cumulant:  0.69766265796990323      	 0.0396372 	 0.00622951
 Temperature:   3.1000001430511475      Hamiltonian: -0.79377832803256465      Magnetization:  -8.3021887474024128E-003 4th_order_cumulant:  0.69906430072760606      	 0.057738 	 -0.00767849
 Temperature:   3.2000000476837158      Hamiltonian: -0.74988508755665606      Magnetization:  -9.6107666043774957E-003 4th_order_cumulant:  0.70034964763845398      	 0.0438932 	 -0.00130858
 Temperature:   3.2999999523162842      Hamiltonian: -0.71406687477017505      Magnetization:  -2.1391769221533210E-002 4th_order_cumulant:  0.70148630466096684      	 0.0358182 	 -0.011781
 Temperature:   3.4000000953674316      Hamiltonian: -0.68690580313374949      Magnetization:  -2.0657302835384436E-003 4th_order_cumulant:  0.70253768464202815      	 0.0271611 	 0.019326
 Temperature:   3.5000000000000000      Hamiltonian: -0.66943962381160627      Magnetization:   1.2608620868539434E-002 4th_order_cumulant:  0.70356896761236642      	 0.0174662 	 0.0146744
 Temperature:   3.6000001430511475      Hamiltonian: -0.63115221387924769      Magnetization:  -2.3018662282758260E-002 4th_order_cumulant:  0.70449882906606498      	 0.0382874 	 -0.0356273
 Temperature:   3.7000000476837158      Hamiltonian: -0.61945588730442780      Magnetization:  -7.7554603732456597E-004 4th_order_cumulant:  0.70540176682701994      	 0.0116963 	 0.0222431
