 Temperature:   3.6000001430511475      Hamiltonian: -0.69239945280490278      Magnetization:  -3.7188651039110343E-002 4th_order_cumulant:  0.84043830270248565      	 -0.0662292 	 -0.21698 	 -0.0662292 	 -0.21698
 Temperature:   3.7000000476837158      Hamiltonian: -0.66326035489056101      Magnetization:   5.8991390394792176E-002 4th_order_cumulant:  0.84052041534962796      	 0.0291391 	 0.09618 	 0.0291391 	 0.09618
 Temperature:   3.7999999523162842      Hamiltonian: -0.58677952707097814      Magnetization:   8.9381720153078964E-002 4th_order_cumulant:  0.84068350911932566      	 0.0764808 	 0.0303903 	 0.0764808 	 0.0303903
 Temperature:   3.9000000953674316      Hamiltonian: -0.58443219965541415      Magnetization:  0.13236904821903062      4th_order_cumulant:  0.84101370274386933      	 0.00234733 	 0.0429873 	 0.00234733 	 0.0429873
 Temperature:   4.0000000000000000      Hamiltonian: -0.59665751143993107      Magnetization:   4.6019442559643804E-002 4th_order_cumulant:  0.84109594571769308      	 -0.0122253 	 -0.0863496 	 -0.0122253 	 -0.0863496
 Temperature:   4.0999999046325684      Hamiltonian: -0.52045370650228795      Magnetization:   8.8431882635119276E-003 4th_order_cumulant:  0.84113232423752349      	 0.0762038 	 -0.0371763 	 0.0762038 	 -0.0371763
 Temperature:   4.2000002861022949      Hamiltonian: -0.52607752824130050      Magnetization:  -3.9422450112347296E-002 4th_order_cumulant:  0.84117354190710958      	 -0.00562382 	 -0.0482656 	 -0.00562382 	 -0.0482656
 Temperature:   4.3000001907348633      Hamiltonian: -0.48551224675564825      Magnetization:  -1.6838743865022467E-002 4th_order_cumulant:  0.84119762495855488      	 0.0405653 	 0.0225837 	 0.0405653 	 0.0225837
 Temperature:   4.4000000953674316      Hamiltonian: -0.51695022744935115      Magnetization:   4.0288429126226995E-002 4th_order_cumulant:  0.84126149598306421      	 -0.031438 	 0.0571272 	 -0.031438 	 0.0571272
 Temperature:   4.5000000000000000      Hamiltonian: -0.44753307754548988      Magnetization:   4.8058838935825250E-002 4th_order_cumulant:  0.84133608114651515      	 0.0694171 	 0.00777041 	 0.0694171 	 0.00777041
 Temperature:   4.5999999046325684      Hamiltonian: -0.47154653786550910      Magnetization:   1.4435961427871646E-003 4th_order_cumulant:  0.84135054508039731      	 -0.0240135 	 -0.0466152 	 -0.0240135 	 -0.0466152
 Temperature:   4.7000002861022949      Hamiltonian: -0.43544430930757305      Magnetization:   3.6385054344228555E-002 4th_order_cumulant:  0.84138476778838411      	 0.0361022 	 0.0349415 	 0.0361022 	 0.0349415
 Temperature:   4.8000001907348633      Hamiltonian: -0.44158162011186153      Magnetization:  -3.1489729891311527E-003 4th_order_cumulant:  0.84140884259733295      	 -0.00613731 	 -0.039534 	 -0.00613731 	 -0.039534
 Temperature:   4.9000000953674316      Hamiltonian: -0.43999144132402235      Magnetization:   7.7343120205402169E-002 4th_order_cumulant:  0.84154864619347447      	 0.00159018 	 0.0804921 	 0.00159018 	 0.0804921
 Temperature:   5.0000000000000000      Hamiltonian: -0.43838565453826484      Magnetization:  -3.9321640750958918E-002 4th_order_cumulant:  0.84161103214946542      	 0.00160579 	 -0.116665 	 0.00160579 	 -0.116665
 Temperature:   5.0999999046325684      Hamiltonian: -0.44480330213090763      Magnetization:   3.0499557546849809E-002 4th_order_cumulant:  0.84163595743632558      	 -0.00641765 	 0.0698212 	 -0.00641765 	 0.0698212
 Temperature:   5.2000002861022949      Hamiltonian: -0.39185771066042618      Magnetization:   4.9215474911509370E-002 4th_order_cumulant:  0.84174672527398076      	 0.0529456 	 0.0187159 	 0.0529456 	 0.0187159
 Temperature:   5.3000001907348633      Hamiltonian: -0.42821196529213212      Magnetization:   3.8619218094982304E-002 4th_order_cumulant:  0.84180745905110599      	 -0.0363543 	 -0.0105963 	 -0.0363543 	 -0.0105963
 Temperature:   5.4000000953674316      Hamiltonian: -0.36813017364305844      Magnetization:  -3.4610244906381003E-002 4th_order_cumulant:  0.84185658508307082      	 0.0600818 	 -0.0732295 	 0.0600818 	 -0.0732295
 Temperature:   5.5000000000000000      Hamiltonian: -0.38950331353472861      Magnetization:  -5.2652625173981275E-002 4th_order_cumulant:  0.84192208136255819      	 -0.0213731 	 -0.0180424 	 -0.0213731 	 -0.0180424
 Temperature:   5.5999999046325684      Hamiltonian: -0.40315915066270697      Magnetization:   2.9342203849965203E-002 4th_order_cumulant:  0.84198120457371683      	 -0.0136558 	 0.0819948 	 -0.0136558 	 0.0819948
 Temperature:   5.7000002861022949      Hamiltonian: -0.40487360058013255      Magnetization:   2.5589934407699928E-003 4th_order_cumulant:  0.84200640032077945      	 -0.00171445 	 -0.0267832 	 -0.00171445 	 -0.0267832
 Temperature:   5.8000001907348633      Hamiltonian: -0.34036222472011607      Magnetization:   2.7397386798688153E-002 4th_order_cumulant:  0.84202968792177579      	 0.0645114 	 0.0248384 	 0.0645114 	 0.0248384
 Temperature:   5.9000000953674316      Hamiltonian: -0.36982119744494402      Magnetization:  -1.2314442397640261E-002 4th_order_cumulant:  0.84204734539859172      	 -0.029459 	 -0.0397118 	 -0.029459 	 -0.0397118
 Temperature:   6.0000000000000000      Hamiltonian: -0.35864583923948901      Magnetization:  -2.2026291013479526E-002 4th_order_cumulant:  0.84207185702240750      	 0.0111754 	 -0.00971185 	 0.0111754 	 -0.00971185
