 Temperature:   1.7500000000000000      Hamiltonian:  -1.8958919439671427      Magnetization: -0.97076148204537072      4th_order_cumulant:  0.98921443264735787      	 ABS_M: 0.970761 	 -0.0103402 	 0.003905
 Temperature:   1.8000000715255737      Hamiltonian:  -1.8881432364929960      Magnetization: -0.96912134518525572      4th_order_cumulant:  0.98954663410995403      	 ABS_M: 0.969121 	 0.00774871 	 -0.00164
 Temperature:   1.8500000238418579      Hamiltonian:  -1.8548297679045616      Magnetization: -0.94674614016814818      4th_order_cumulant:  0.98985565126914721      	 ABS_M: 0.946746 	 0.0333135 	 -0.022375
 Temperature:   1.8999999761581421      Hamiltonian:  -1.8313256037209880      Magnetization: -0.93572771826752099      4th_order_cumulant:  0.99014132441525460      	 ABS_M: 0.935728 	 0.0235042 	 -0.011018
 Temperature:   1.9500000476837158      Hamiltonian:  -1.8152601657004652      Magnetization:  -3.2913840964783447E-002 4th_order_cumulant:  0.99041178244556871      	 ABS_M: 0.0329138 	 0.0160654 	 -0.902814
 Temperature:   2.0000000000000000      Hamiltonian:  -1.8101019075207125      Magnetization:  0.21124588576987935      4th_order_cumulant:  0.99066826488171889      	 ABS_M: 0.211246 	 0.00515826 	 0.178332
 Temperature:   2.0499999523162842      Hamiltonian:  -1.7019762627384400      Magnetization: -0.71491109426427879      4th_order_cumulant:  0.99090084737406814      	 ABS_M: 0.714911 	 0.108126 	 0.503665
 Temperature:   2.1000001430511475      Hamiltonian:  -1.6601189970328423      Magnetization:  0.85689501111321698      4th_order_cumulant:  0.99111708618992100      	 ABS_M: 0.856895 	 0.0418573 	 0.141984
 Temperature:   2.1500000953674316      Hamiltonian:  -1.6176137648746292      Magnetization:  0.11566961187638912      4th_order_cumulant:  0.99131740374347965      	 ABS_M: 0.11567 	 0.0425052 	 -0.741225
 Temperature:   2.2000000476837158      Hamiltonian:  -1.6126709517206093      Magnetization:  -6.4235541298515442E-002 4th_order_cumulant:  0.99150853887471779      	 ABS_M: 0.0642355 	 0.00494281 	 -0.0514345
 Temperature:   2.2500000000000000      Hamiltonian:  -1.5449515838689651      Magnetization:  0.32985134555733769      4th_order_cumulant:  0.99168528387507449      	 ABS_M: 0.329851 	 0.0677194 	 0.265616
 Temperature:   2.2999999523162842      Hamiltonian:  -1.5049743689479838      Magnetization:  0.15922873141819469      4th_order_cumulant:  0.99185331571866686      	 ABS_M: 0.159229 	 0.0399772 	 -0.170622
 Temperature:   2.3500001430511475      Hamiltonian:  -1.5000318717961185      Magnetization: -0.22301134640857276      4th_order_cumulant:  0.99201426780984425      	 ABS_M: 0.223011 	 0.0049425 	 0.063782
 Temperature:   2.4000000953674316      Hamiltonian:  -1.4480937539839744      Magnetization:   2.4831498581698953E-002 4th_order_cumulant:  0.99216361842113510      	 ABS_M: 0.0248315 	 0.0519381 	 -0.198179
 Temperature:   2.4500000476837158      Hamiltonian:  -1.3834622617192480      Magnetization: -0.35852814606267724      4th_order_cumulant:  0.99230415943719918      	 ABS_M: 0.358528 	 0.0646315 	 0.333697
 Temperature:   2.5000000000000000      Hamiltonian:  -1.3857041827827150      Magnetization:   9.4048933981742147E-002 4th_order_cumulant:  0.99244183891262971      	 ABS_M: 0.0940489 	 -0.00224192 	 -0.264479
 Temperature:   2.5499999523162842      Hamiltonian:  -1.3652044630228479      Magnetization:  0.40552738111674774      4th_order_cumulant:  0.99257363338252169      	 ABS_M: 0.405527 	 0.0204997 	 0.311478
