 Temperature:   1.5000000000000000      Hamiltonian:  -1.9496645160585830      Magnetization:  0.98601639624635318      4th_order_cumulant:  0.98717844843116731      	 ABS_M: 0.986016 	 0.00911998 	 -0.002612 	 ABS_M: 0.986016 	 0.00911998 	 -0.002612
 Temperature:   1.5500000715255737      Hamiltonian:  -1.9406476449136054      Magnetization:  0.98349058471830320      4th_order_cumulant:  0.98765291037475300      	 ABS_M: 0.983491 	 0.00901687 	 -0.002525 	 ABS_M: 0.983491 	 0.00901687 	 -0.002525
 Temperature:   1.6000000238418579      Hamiltonian:  -1.9284151367629783      Magnetization:  0.97977541941520452      4th_order_cumulant:  0.98809333119689324      	 ABS_M: 0.979775 	 0.0122325 	 -0.003716 	 ABS_M: 0.979775 	 0.0122325 	 -0.003716
 Temperature:   1.6499999761581421      Hamiltonian:  -1.9133437704030991      Magnetization:  0.97469538362508668      4th_order_cumulant:  0.98850307041325858      	 ABS_M: 0.974695 	 0.0150714 	 -0.00508 	 ABS_M: 0.974695 	 0.0150714 	 -0.00508
 Temperature:   1.7000000476837158      Hamiltonian:  -1.8968223023682040      Magnetization:  0.96957558457960669      4th_order_cumulant:  0.98888523376748361      	 ABS_M: 0.969576 	 0.0165215 	 -0.005119 	 ABS_M: 0.969576 	 0.0165215 	 -0.005119
 Temperature:   1.7500000000000000      Hamiltonian:  -1.8831711165352585      Magnetization:  0.96581463021354408      4th_order_cumulant:  0.98924258641411367      	 ABS_M: 0.965815 	 0.0136512 	 -0.003761 	 ABS_M: 0.965815 	 0.0136512 	 -0.003761
 Temperature:   1.8000000715255737      Hamiltonian:  -1.8518187644333330      Magnetization:  0.95417724417530314      4th_order_cumulant:  0.98957668299727797      	 ABS_M: 0.954177 	 0.0313524 	 -0.011638 	 ABS_M: 0.954177 	 0.0313524 	 -0.011638
 Temperature:   1.8500000238418579      Hamiltonian:  -1.8347416081665322      Magnetization:  0.94910361686229328      4th_order_cumulant:  0.98989027799026963      	 ABS_M: 0.949104 	 0.0170772 	 -0.005073 	 ABS_M: 0.949104 	 0.0170772 	 -0.005073
 Temperature:   1.8999999761581421      Hamiltonian:  -1.8113853660114418      Magnetization:  0.94007519508763060      4th_order_cumulant:  0.99018462977833033      	 ABS_M: 0.940075 	 0.0233562 	 -0.009029 	 ABS_M: 0.940075 	 0.0233562 	 -0.009029
 Temperature:   1.9500000476837158      Hamiltonian:  -1.7807518593952461      Magnetization:  0.92467915847206072      4th_order_cumulant:  0.99046040599640139      	 ABS_M: 0.924679 	 0.0306335 	 -0.015396 	 ABS_M: 0.924679 	 0.0306335 	 -0.015396
 Temperature:   2.0000000000000000      Hamiltonian:  -1.7484739522741395      Magnetization:  0.91546341108600293      4th_order_cumulant:  0.99072029192618538      	 ABS_M: 0.915463 	 0.0322779 	 -0.009216 	 ABS_M: 0.915463 	 0.0322779 	 -0.009216
 Temperature:   2.0499999523162842      Hamiltonian:  -1.7069179199930709      Magnetization:  0.89279072462946496      4th_order_cumulant:  0.99096298088430301      	 ABS_M: 0.892791 	 0.041556 	 -0.022672 	 ABS_M: 0.892791 	 0.041556 	 -0.022672
 Temperature:   2.1000001430511475      Hamiltonian:  -1.6559995954207420      Magnetization:  0.86816962474384696      4th_order_cumulant:  0.99118913018339905      	 ABS_M: 0.86817 	 0.0509183 	 -0.024621 	 ABS_M: 0.86817 	 0.0509183 	 -0.024621
 Temperature:   2.1500000953674316      Hamiltonian:  -1.5763606562492098      Magnetization:  0.79749590111865176      4th_order_cumulant:  0.99138792810631082      	 ABS_M: 0.797496 	 0.0796389 	 -0.070674 	 ABS_M: 0.797496 	 0.0796389 	 -0.070674
 Temperature:   2.2000000476837158      Hamiltonian:  -1.5329054454675901      Magnetization:  0.78337293364677951      4th_order_cumulant:  0.99157589663702939      	 ABS_M: 0.783373 	 0.0434552 	 -0.014123 	 ABS_M: 0.783373 	 0.0434552 	 -0.014123
 Temperature:   2.2500000000000000      Hamiltonian:  -1.4922146181014559      Magnetization:  0.75470695528771214      4th_order_cumulant:  0.99174826862934362      	 ABS_M: 0.754707 	 0.0406908 	 -0.028666 	 ABS_M: 0.754707 	 0.0406908 	 -0.028666
 Temperature:   2.2999999523162842      Hamiltonian:  -1.3595068054728869      Magnetization:  0.54585695804581114      4th_order_cumulant:  0.99185548375844967      	 ABS_M: 0.545857 	 0.132708 	 -0.20885 	 ABS_M: 0.545857 	 0.132708 	 -0.20885
 Temperature:   2.3500001430511475      Hamiltonian:  -1.2841621325206161      Magnetization:  0.47473098937516223      4th_order_cumulant:  0.99194022812910532      	 ABS_M: 0.474731 	 0.0753447 	 -0.071126 	 ABS_M: 0.474731 	 0.0753447 	 -0.071126
 Temperature:   2.4000000953674316      Hamiltonian:  -1.2443370189323877      Magnetization:  0.38683976006418824      4th_order_cumulant:  0.99201297029783697      	 ABS_M: 0.38684 	 0.0398251 	 -0.087891 	 ABS_M: 0.38684 	 0.0398251 	 -0.087891
 Temperature:   2.4500000476837158      Hamiltonian:  -1.1567769054433963      Magnetization: -0.17770207953660144      4th_order_cumulant:  0.99204510183563188      	 ABS_M: 0.177702 	 0.0875601 	 -0.209138 	 ABS_M: 0.177702 	 0.0875601 	 -0.209138
 Temperature:   2.5000000000000000      Hamiltonian:  -1.1110679865637800      Magnetization:  -8.2911983426913138E-002 4th_order_cumulant:  0.99207395054816461      	 ABS_M: 0.082912 	 0.0457089 	 -0.09479 	 ABS_M: 0.082912 	 0.0457089 	 -0.09479
 Temperature:   2.5499999523162842      Hamiltonian:  -1.0818825182602276      Magnetization:  -8.5570505177898892E-003 4th_order_cumulant:  0.99209308463358914      	 ABS_M: 0.00855705 	 0.0291855 	 -0.074355 	 ABS_M: 0.00855705 	 0.0291855 	 -0.074355
 Temperature:   2.6000001430511475      Hamiltonian:  -1.0353826214746451      Magnetization:  0.19478956840053610      4th_order_cumulant:  0.99211521076934039      	 ABS_M: 0.19479 	 0.0464999 	 0.186233 	 ABS_M: 0.19479 	 0.0464999 	 0.186233
 Temperature:   2.6500000953674316      Hamiltonian: -0.98566574903832316      Magnetization:   5.3099852494274215E-002 4th_order_cumulant:  0.99212546020581316      	 ABS_M: 0.0530999 	 0.0497169 	 -0.14169 	 ABS_M: 0.0530999 	 0.0497169 	 -0.14169
 Temperature:   2.7000000476837158      Hamiltonian: -0.96001031746240051      Magnetization:   4.8821575878618149E-002 4th_order_cumulant:  0.99213308480186724      	 ABS_M: 0.0488216 	 0.0256554 	 -0.0042783 	 ABS_M: 0.0488216 	 0.0256554 	 -0.0042783
 Temperature:   2.7500000000000000      Hamiltonian: -0.92917564973938949      Magnetization:   3.7155036913478275E-002 4th_order_cumulant:  0.99214044330550055      	 ABS_M: 0.037155 	 0.0308347 	 -0.0116666 	 ABS_M: 0.037155 	 0.0308347 	 -0.0116666
 Temperature:   2.7999999523162842      Hamiltonian: -0.89908418936894485      Magnetization:   3.1952484220042800E-002 4th_order_cumulant:  0.99214839636254937      	 ABS_M: 0.0319525 	 0.0300915 	 -0.0052025 	 ABS_M: 0.0319525 	 0.0300915 	 -0.0052025
 Temperature:   2.8500001430511475      Hamiltonian: -0.87447940189783080      Magnetization:  -5.5544305432437113E-003 4th_order_cumulant:  0.99215274194775516      	 ABS_M: 0.00555443 	 0.0246048 	 -0.0263981 	 ABS_M: 0.00555443 	 0.0246048 	 -0.0263981
 Temperature:   2.9000000953674316      Hamiltonian: -0.86581085866338270      Magnetization:   4.1434486984754798E-002 4th_order_cumulant:  0.99215981233379347      	 ABS_M: 0.0414345 	 0.00866854 	 0.0358801 	 ABS_M: 0.0414345 	 0.00866854 	 0.0358801
 Temperature:   2.9500000476837158      Hamiltonian: -0.84257751195968489      Magnetization:   1.2684227807835910E-002 4th_order_cumulant:  0.99216323997662037      	 ABS_M: 0.0126842 	 0.0232333 	 -0.0287503 	 ABS_M: 0.0126842 	 0.0232333 	 -0.0287503
 Temperature:   3.0000000000000000      Hamiltonian: -0.81099456558107808      Magnetization:  -7.9290218569769387E-003 4th_order_cumulant:  0.99216737456138437      	 ABS_M: 0.00792902 	 0.0315829 	 -0.00475518 	 ABS_M: 0.00792902 	 0.0315829 	 -0.00475518
 Temperature:   3.0499999523162842      Hamiltonian: -0.80152225963294066      Magnetization:   1.4776633988726843E-002 4th_order_cumulant:  0.99217238081614745      	 ABS_M: 0.0147766 	 0.00947231 	 0.00684758 	 ABS_M: 0.0147766 	 0.00947231 	 0.00684758
 Temperature:   3.1000001430511475      Hamiltonian: -0.78187899162062424      Magnetization:  -1.2758802163556663E-002 4th_order_cumulant:  0.99217568707310044      	 ABS_M: 0.0127588 	 0.0196433 	 -0.0020178 	 ABS_M: 0.0127588 	 0.0196433 	 -0.0020178
 Temperature:   3.1500000953674316      Hamiltonian: -0.76650747803513997      Magnetization:  -3.5582936289485192E-004 4th_order_cumulant:  0.99217930895490980      	 ABS_M: 0.000355829 	 0.0153715 	 -0.012403 	 ABS_M: 0.000355829 	 0.0153715 	 -0.012403
 Temperature:   3.2000000476837158      Hamiltonian: -0.74350055103999613      Magnetization:   2.3783835669766870E-002 4th_order_cumulant:  0.99218186208406822      	 ABS_M: 0.0237838 	 0.0230069 	 0.023428 	 ABS_M: 0.0237838 	 0.0230069 	 0.023428
 Temperature:   3.2500000000000000      Hamiltonian: -0.73236155194199426      Magnetization:   1.3070927342696621E-002 4th_order_cumulant:  0.99218478260123666      	 ABS_M: 0.0130709 	 0.011139 	 -0.0107129 	 ABS_M: 0.0130709 	 0.011139 	 -0.0107129
 Temperature:   3.2999999523162842      Hamiltonian: -0.70998083865781636      Magnetization:   1.5575854961959817E-003 4th_order_cumulant:  0.99218703475937398      	 ABS_M: 0.00155759 	 0.0223807 	 -0.0115133 	 ABS_M: 0.00155759 	 0.0223807 	 -0.0115133
 Temperature:   3.3500001430511475      Hamiltonian: -0.69677925685954811      Magnetization:   2.2826308431563469E-002 4th_order_cumulant:  0.99218984316177039      	 ABS_M: 0.0228263 	 0.0132016 	 0.0212687 	 ABS_M: 0.0228263 	 0.0132016 	 0.0212687
 Temperature:   3.4000000953674316      Hamiltonian: -0.68110177898780633      Magnetization:  -9.8151752965167354E-003 4th_order_cumulant:  0.99219179126563040      	 ABS_M: 0.00981518 	 0.0156775 	 -0.0130111 	 ABS_M: 0.00981518 	 0.0156775 	 -0.0130111
 Temperature:   3.4500000476837158      Hamiltonian: -0.66862283601421679      Magnetization:  -4.3402405752935476E-003 4th_order_cumulant:  0.99219495686214787      	 ABS_M: 0.00434024 	 0.0124789 	 -0.00547494 	 ABS_M: 0.00434024 	 0.0124789 	 -0.00547494
 Temperature:   3.5000000000000000      Hamiltonian: -0.66184335454899612      Magnetization:  -1.8381749047100732E-002 4th_order_cumulant:  0.99219718449141592      	 ABS_M: 0.0183817 	 0.00677948 	 0.0140415 	 ABS_M: 0.0183817 	 0.00677948 	 0.0140415
 Temperature:   3.5499999523162842      Hamiltonian: -0.64667094750899334      Magnetization:   7.6766570607928767E-003 4th_order_cumulant:  0.99219957847115225      	 ABS_M: 0.00767666 	 0.0151724 	 -0.010705 	 ABS_M: 0.00767666 	 0.0151724 	 -0.010705
